data,estado,cidade,casos_totais,casos_novos,obitos_totais,obitos_novos,ano,mes,data_carga
2023-03-18,PE,Chã Grande/PE,732,1,30,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Cruz Machado/PR,2740,0,39,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Dário Meira/BA,2374,0,41,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Grupiara/MG,722,0,6,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Iapu/MG,1953,0,37,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Igarapé Grande/MA,1945,0,16,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Jataizinho/PR,3060,0,60,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Juruaia/MG,3191,0,30,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Louveira/SP,12283,2,129,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MA,Maracaçumé/MA,543,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Marília/SP,42372,78,1170,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Mirandópolis/SP,2298,0,120,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Monte Formoso/MG,391,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Nilo Peçanha/BA,1140,0,20,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Ouro/SC,2676,2,23,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Queluz/SP,1107,-3,31,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Regeneração/PI,1338,2,31,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SE,São Francisco/SE,384,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,São José do Rio Preto/SP,152478,121,3218,2,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Vale de São Domingos/MT,697,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Acaiaca/MG,293,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Bandeirantes/PR,10046,2,168,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RN,Barcelona/RN,537,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Belo Oriente/MG,3721,0,85,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Cachoeira Alta/GO,4172,1,36,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Conceição da Barra de Minas/MG,748,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Coribe/BA,1031,1,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Fama/MG,816,0,1,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Guaraíta/GO,839,0,14,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Jacaraci/BA,1817,0,35,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Mandaguaçu/PR,9056,3,98,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Mirabela/MG,1966,0,22,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Pedras de Fogo/PB,3932,-1,58,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Pintadas/BA,1599,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Ponte Branca/MT,402,0,6,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Santa Cruz do Arari/PA,264,0,12,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Santana de Pirapama/MG,990,0,22,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Sarzedo/MG,4627,0,85,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Sebastianópolis do Sul/SP,361,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,São Miguel Arcanjo/SP,4805,0,90,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,São Pedro da Serra/RS,838,0,3,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,São Roque de Minas/MG,1930,0,22,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Vespasiano Corrêa/RS,554,5,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Vigia/PA,3999,9,96,1,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Alagoinha/PB,2557,0,26,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Barretos/SP,31704,69,651,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Cacequi/RS,1599,2,19,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Cafelândia/PR,5724,3,50,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Cerquilho/SP,15417,42,175,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PA,Chaves/PA,1002,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,ES,Domingos Martins/ES,12337,3,98,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,AL,Mar Vermelho/AL,338,1,4,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Morro do Chapéu do Piauí/PI,1238,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Navegantes/SC,17900,17,245,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Nova Bréscia/RS,1009,4,19,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Novais/SP,319,0,19,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Palmeira do Piauí/PI,238,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Piau/MG,437,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Porteirinha/MG,6154,0,81,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Rio Claro/SP,13963,19,725,3,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Santa Mercedes/SP,896,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,GO,Santo Antônio do Descoberto/GO,6876,2,129,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Socorro/SP,6513,30,116,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,São João do Polêsine/RS,808,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Vidal Ramos/SC,1415,6,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Vinhedo/SP,18775,11,252,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Virgínia/MG,1808,0,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Alecrim/RS,691,5,13,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,AM,Barreirinha/AM,4146,2,69,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Brasnorte/MT,3844,0,45,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Brunópolis/SC,805,1,9,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,Cacimbas/PB,503,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Cândido Godói/RS,1425,3,6,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Doutor Maurício Cardoso/RS,741,0,18,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Durandé/MG,1903,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Engenheiro Beltrão/PR,3813,1,36,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Ipupiara/BA,810,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Itapé/BA,1069,0,34,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Itirapuã/SP,324,0,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Itiúba/BA,2881,0,49,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Maracás/BA,5049,1,82,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Mauá da Serra/PR,1840,0,33,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Munhoz de Melo/PR,1098,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Nova Aliança/SP,1574,1,34,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MT,Novo Mundo/MT,2131,0,26,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Pereiras/SP,1217,0,23,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,TO,Piraquê/TO,422,3,1,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Rio Real/BA,4367,0,55,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Rio Rufino/SC,351,-1,8,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MS,Rio Verde de Mato Grosso/MS,3845,-1,84,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Santa Clara d'Oeste/SP,557,0,26,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Santo Expedito/SP,216,0,11,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Santo Inácio do Piauí/PI,334,0,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,BA,Senhor do Bonfim/BA,8785,3,120,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,São Tomás de Aquino/MG,2384,0,20,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PB,São Vicente do Seridó/PB,1237,0,3,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Taquaraçu de Minas/MG,600,0,10,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SP,Vargem Grande Paulista/SP,6938,2,139,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RS,Vila Flores/RS,1409,1,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PI,Barras/PI,7072,2,112,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,PR,Bocaiúva do Sul/PR,3533,2,31,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,SC,Campo Belo do Sul/SC,1253,0,23,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RN,Campo Grande/RN,760,0,15,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,RN,Caraúbas/RN,4824,0,57,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,TO,Centenário/TO,618,2,7,0,2023,3,2025-10-15 20:57:10.032331
2023-03-18,MG,Cláudio/MG,4283,0,74,0,2023,3,2025-10-15 20:57:10.032331
